ID,lang,Date,Source,len,Orig_Tweet,Tweet,Likes,RTs,Hashtags,UserMentionNames,UserMentionID,Name,Place,Followers,Friends
1013564639320342530,en,2018-07-01 23:26:55,Twitter for iPhone,140,"RT @premierleague: He may have exited the #WorldCup, but Kasper Schmeichel is still a #DEN hero ? 

And we've seen his penalty-saving quali…",He may have exited the but Kasper Schmeichel is still hero And we have seen his penalty saving quali,0,255,"WorldCup,DEN",Premier League,premierleague,Kganya ?,"Johannesburg, South Africa",245,542
1013564637931925504,en,2018-07-01 23:26:55,Twitter for iPhone,64,RT @MisterHeartz: GG GN and GL #WorldCup https://t.co/3j3w9aMLcy,GG GN and GL,0,4434,WorldCup,HRK800 Serial No. 191 919 199,MisterHeartz,T ??,Moon,24,207
1013564631804268545,en,2018-07-01 23:26:53,Twitter for iPhone,110,"RT @Pornhub: In honor of today's win, the Russian category is #1 on Pornhub. #WorldCup https://t.co/JKl1n9PBBD",In honor of todays win the Russian category is on Pornhub,0,579,WorldCup,Pornhub ARIA,Pornhub,eilu,toha,173,99
1013564623369457665,en,2018-07-01 23:26:51,Twitter for iPhone,80,RT @brfootball: A legend says goodbye to the #WorldCup ? https://t.co/9hR5qVfVPX,legend says goodbye to the,0,5379,WorldCup,B/R Football,brfootball,Eric Reyes,"Springfield, MO",857,670
1013564618625703936,en,2018-07-01 23:26:50,Twitter for iPhone,127,"RT @fussballerisch: French commentators’ reaction to Pavard’s goal is priceless.
#FRA #FRAARG #WorldCup https://t.co/JCFx1uoE6C",French commentators reaction to Pavard goal is priceless,0,18000,"FRA,FRAARG,WorldCup",Zach Townsend,fussballerisch,rem,"Lille, France",351,28
1013564616465526785,en,2018-07-01 23:26:50,Twitter for Android,64,RT @MisterHeartz: GG GN and GL #WorldCup https://t.co/3j3w9aMLcy,GG GN and GL,0,4434,WorldCup,HRK800 Serial No. 191 919 199,MisterHeartz,mamon?,ChaingMai Thailand,477,130
1013564609121398785,en,2018-07-01 23:26:48,Twitter for iPhone,138,"RT @Footy_JokesOG: ?? Kasper Schmeichel:

Saves penalty in Extra Time

Saves 2 penalties in shootout.

Still knocked out of the #WorldCup…",Kasper Schmeichel Saves penalty in Extra Time Saves penalties in shootout Still knocked out of the,0,778,WorldCup,Footy Jokes,Footy_JokesOG,Ib_Yuguda,"Cairo, Egypt",610,402
1013564607150067712,en,2018-07-01 23:26:48,Twitter for iPad,139,"RT @ManUtd: What. A. Game!

Congratulations to @PaulPogba on reaching the #WorldCup quarter-finals with #FRA, but commiserations to Marcos…",What Game Congratulations to on reaching the quarter finals with but commiserations to Marcos,0,3554,"WorldCup,FRA","Manchester United,Paul Pogba","ManUtd,paulpogba",Simon Cowie,Omagh United Kingdom,1203,2272
1013564606164422658,en,2018-07-01 23:26:47,Twitter for iPhone,96,RT @JuveBillz: The legendary @vieri_bobo ladies and gentlemen. #WorldCup https://t.co/ZQRNjRiKNs,The legendary ladies and gentlemen,0,164,WorldCup,"Bilal B.,ChristianVieri","JuveBillz,vieri_bobo",Omer,"Manchester, England",322,456
1013564605795393536,en,2018-07-01 23:26:47,Twitter for iPhone,66,RT @TrollFootball: The #WorldCup of upsets https://t.co/lY4CU7fWYU,The of upsets,0,9805,WorldCup,Troll Football,TrollFootball,•nMendes420•,Albufeira,228,196
1013564605338038272,en,2018-07-01 23:26:47,Twitter for iPhone,140,"RT @TeleFootball: One of these teams will be in the #WorldCup final...

?? Russia
?? Croatia
?? Denmark
?? Sweden
?? Switzerland 
?? Colomb…",One of these teams will be in the final Russia Croatia Denmark Sweden Switzerland Colomb,0,346,WorldCup,Telegraph Football,TeleFootball,Ken McGregor,"Darwin, Northern Territory",1481,678
1013564604629356544,en,2018-07-01 23:26:47,Twitter for iPhone,140,"RT @LaureusSport: Kylian Mbappé will donate everything he earns with #FRA at the #WorldCup to charity. This will add up to €20,000 per game…",Kylian Mbapp will donate everything he earns with at the to charity This will add up to per game,0,7424,"FRA,WorldCup",Laureus,LaureusSport,dibu segovia,"monterrey, mexico",531,624
